Time,Door,Car,Speed
18:40,0029,31.0,86.0
18:40,0005,31.0,86.0
18:40,0061,31.0,86.0
18:40,0017,31.0,86.0
18:40,0099,31.0,50.0
18:40,0029,31.0,90.0
18:40,0147,31.0,32.0
18:40,0174,31.0,46.0
18:40,0061,31.0,90.0
18:40,0153,31.0,64.0
18:40,0099,31.0,90.0
18:40,0213,31.0,46.0
18:40,0147,31.0,90.0
18:40,0153,31.0,43.0
18:40,0233,31.0,82.0
18:40,0256,31.0,72.0
18:40,0182,31.0,25.0
18:40,0293,31.0,79.0
18:40,0248,31.0,82.0
18:40,0340,31.0,90.0
18:40,0264,31.0,86.0
18:40,0293,31.0,82.0
18:40,0305,31.0,79.0
18:40,0376,31.0,25.0
18:40,0447,31.0,36.0
18:40,0413,31.0,18.0
18:40,0339,31.0,64.0
18:40,0467,31.0,90.0
18:40,0376,31.0,39.0
18:40,0492,31.0,90.0
18:40,0413,31.0,86.0
18:40,0511,31.0,93.0
18:40,0467,31.0,93.0
18:40,0532,31.0,90.0
18:40,0492,31.0,72.0
18:40,0532,31.0,3.0
18:40,0557,31.0,43.0
18:40,0511,31.0,75.0
18:40,0584,31.0,43.0
18:40,0532,31.0,72.0
18:40,0557,31.0,3.0
18:40,0557,31.0,64.0
18:40,0633,31.0,82.0
18:40,0608,31.0,75.0
18:40,0664,31.0,93.0
18:40,0578,31.0,50.0
18:40,0579,31.0,57.0
18:40,0681,31.0,90.0
18:40,0633,31.0,90.0
18:40,0699,31.0,90.0
18:40,0664,31.0,93.0
18:40,0750,31.0,97.0
18:40,0681,31.0,93.0
18:40,0880,31.0,90.0
18:40,0699,31.0,93.0
18:40,0610,31.0,90.0
18:40,0928,31.0,68.0
18:40,0750,31.0,97.0
18:40,0956,31.0,32.0
18:40,0880,31.0,79.0
18:40,0928,31.0,90.0
18:40,0979,31.0,72.0
18:40,1045,31.0,93.0
18:40,0950,31.0,90.0
18:40,1123,31.0,97.0
18:40,0980,31.0,97.0
18:40,1292,31.0,100.0
18:40,1045,31.0,93.0
18:40,1389,31.0,104.0
18:40,1123,31.0,100.0
18:40,1465,31.0,104.0
18:40,1292,31.0,104.0
18:40,1572,31.0,100.0
18:40,1389,31.0,100.0
18:40,1621,31.0,104.0
18:40,1465,31.0,100.0
18:40,1664,31.0,104.0
18:40,1572,31.0,100.0
