Time,Door,Direction,Car,Number,車流量
2024/4/29 18:00,0,S,31,108,146
2024/4/29 18:00,5,S,31,75,95
2024/4/29 18:00,6,S,31,52,72
2024/4/29 18:00,11,S,31,240,364
2024/4/29 18:00,17,S,31,62,80
2024/4/29 18:00,18,S,31,70,109
2024/4/29 18:00,19,S,31,148,245
2024/4/29 18:00,22,S,31,304,390
2024/4/29 18:00,29,S,31,97,126
2024/4/29 18:00,45,S,31,258,329
2024/4/29 18:00,51,S,31,219,308
2024/4/29 18:00,55,S,31,104,139
2024/4/29 18:00,61,S,31,186,253
2024/4/29 18:00,66,S,31,230,327
2024/4/29 18:00,79,S,31,241,334
2024/4/29 18:00,83,S,31,190,277
2024/4/29 18:00,87,S,31,67,92
2024/4/29 18:00,89,S,31,233,366
2024/4/29 18:00,99,S,31,203,266
2024/4/29 18:00,100,S,31,240,321
2024/4/29 18:00,101,S,31,53,78
2024/4/29 18:00,113,S,31,25,36
2024/4/29 18:00,116,S,31,162,226
2024/4/29 18:00,123,S,31,193,254
2024/4/29 18:00,126,S,31,252,331
2024/4/29 18:00,128,S,31,162,245
2024/4/29 18:00,129,S,31,270,361
2024/4/29 18:00,136,S,31,219,296
2024/4/29 18:00,142,S,31,73,109
2024/4/29 18:00,147,S,31,138,195
2024/4/29 18:00,152,S,31,219,307
2024/4/29 18:00,153,S,31,198,269
2024/4/29 18:00,156,S,31,186,292
2024/4/29 18:00,158,S,31,324,411
2024/4/29 18:00,161,S,31,123,202
2024/4/29 18:00,163,S,31,129,163
2024/4/29 18:00,168,S,31,70,105
2024/4/29 18:00,182,S,31,233,302
2024/4/29 18:00,185,S,31,337,449
2024/4/29 18:00,187,S,31,68,99
2024/4/29 18:00,194,S,31,241,332
2024/4/29 18:00,201,S,31,300,393
2024/4/29 18:00,206,S,31,197,254
2024/4/29 18:00,211,S,31,74,105
2024/4/29 18:00,215,S,31,137,220
2024/4/29 18:00,217,S,31,253,359
2024/4/29 18:00,227,S,31,366,470
2024/4/29 18:00,232,S,31,51,78
2024/4/29 18:00,235,S,31,220,301
2024/4/29 18:00,248,S,31,444,569
2024/4/29 18:00,249,S,31,124,188
2024/4/29 18:00,252,S,31,239,345
2024/4/29 18:00,257,S,31,105,175
2024/4/29 18:00,259,S,31,70,100
2024/4/29 18:00,261,S,31,160,230
2024/4/29 18:00,263,S,31,26,36
2024/4/29 18:00,264,S,31,422,555
2024/4/29 18:00,286,S,31,230,349
2024/4/29 18:00,287,S,31,90,124
2024/4/29 18:00,292,S,31,111,158
2024/4/29 18:00,293,S,31,328,437
2024/4/29 18:00,301,S,31,266,363
2024/4/29 18:00,305,S,31,310,387
2024/4/29 18:00,306,S,31,97,142
2024/4/29 18:00,307,S,31,75,116
2024/4/29 18:00,309,S,31,77,111
2024/4/29 18:00,322,S,31,128,223
2024/4/29 18:00,332,S,31,81,148
2024/4/29 18:00,334,S,31,79,102
2024/4/29 18:00,336,S,31,85,121
2024/4/29 18:00,337,S,31,252,368
2024/4/29 18:00,339,S,31,575,735
2024/4/29 18:00,366,S,31,179,283
2024/4/29 18:00,376,S,31,421,543
2024/4/29 18:00,389,S,31,108,157
2024/4/29 18:00,392,S,31,100,146
2024/4/29 18:00,394,S,31,316,452
2024/4/29 18:00,394,S,31,146,247
2024/4/29 18:00,395,S,31,86,160
2024/4/29 18:00,398,S,31,188,293
2024/4/29 18:00,413,S,31,196,259
2024/4/29 18:00,415,S,31,71,101
2024/4/29 18:00,425,S,31,146,238
2024/4/29 18:00,439,S,31,68,108
2024/4/29 18:00,445,S,31,111,157
2024/4/29 18:00,447,S,31,55,89
2024/4/29 18:00,447,S,31,184,242
2024/4/29 18:00,447,S,31,405,547
2024/4/29 18:00,460,S,31,254,394
2024/4/29 18:00,465,S,31,143,215
2024/4/29 18:00,467,S,31,390,515
2024/4/29 18:00,472,S,31,143,227
2024/4/29 18:00,485,S,31,81,139
2024/4/29 18:00,492,S,31,216,296
2024/4/29 18:00,494,S,31,18,30
2024/4/29 18:00,496,S,31,146,198
2024/4/29 18:00,498,S,31,330,477
2024/4/29 18:00,511,S,31,329,453
2024/4/29 18:00,514,S,31,137,226
2024/4/29 18:00,525,S,31,330,465
2024/4/29 18:00,532,S,31,301,407
2024/4/29 18:00,535,S,31,69,99
2024/4/29 18:00,535,S,31,339,496
2024/4/29 18:00,557,S,31,330,428
2024/4/29 18:00,559,S,31,263,358
2024/4/29 18:00,561,S,31,274,410
2024/4/29 18:00,572,S,31,160,213
2024/4/29 18:00,578,S,31,272,365
2024/4/29 18:00,579,S,31,173,214
2024/4/29 18:00,588,S,31,99,159
2024/4/29 18:00,590,S,31,391,576
2024/4/29 18:00,603,S,31,120,216
2024/4/29 18:00,610,S,31,159,200
2024/4/29 18:00,614,S,31,59,91
2024/4/29 18:00,621,S,31,227,301
2024/4/29 18:00,633,S,31,110,197
